Designator,Mid X,Mid Y,Rotation,Layer
C1,14.605,40.894,90,B
C2,28.448,40.894,0,B
C3,28.8,39,0,B
C4,24.5,43.3,90,B
C5,26.289,43.434,90,B
C7,20.193,30.226,90,B
C8,9,47.371,180,B
C9,12.2,47.371,180,B
C11,11.7,36.6,180,B
C12,35.475,44.05,0,B
C15,33.1,44.85,90,B
C16,34.2,32.95,0,B
D1,11.811,40.386,90,B
D2,28.194,43.434,90,B
D3,30.8,28.956,90,B
D4,26.8,46.9,0,B
J1,4.13385,30.861,180,B
J2,46.863,37.211,90,B
J3,13.462,52.5018,-90,B
J4,19.558,44.831,90,B
J5,6.209,41.021,90,B
L1,14.351,38.1,90,B
L2,16.002,38.1,90,B
L3,30.607,33.274,0,B
L4,30.607,35.179,0,B
L5,38.9,28.702,-90,B
Q1,36.5,30.1125,-90,B
R1,5.842,47.371,0,B
R2,28.448,37.2,0,B
R3,27.813,33.274,0,B
R4,27.813,35.179,0,B
R5,38.25,37.6,90,B
R6,18.6,33.5,180,B
R7,17.907,31.9,180,B
R8,17.907,28.321,180,B
R9,18.288,38.1,180,B
R10,18.288,39.878,180,B
R11,18.288,36.195,180,B
R12,35.475,45.65,0,B
R13,38.25,34.5,90,B
R14,3.048,47.498,180,B
R15,3.048,49.276,180,B
R16,34,29.95,90,B
R18,38.25,40.7,-90,B
R19,34.2,34.55,0,B
R20,36.1,27.35,180,B
R21,36.6,34.05,90,B
R22,29.975,46.9,180,B
T1,22.733,43.688,-90,B
U1,23.368,38.227,0,B
U2,34.7,39.35,90,B
U5,25.1,1.3,180,B
U6,12.5,31.1,180,B
