Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22pF/50V,C1653
"C10, C6",0603,2,10nF,C57112
"C11, C12, C16, C2, C4, C7, C8, C9",0603,8,100nF/50V,C14663
C15,0603,1,1nF,C1588
"C3, C5",0603,2,10uF/10V,C19702
D1,SOT23-6L,1,TVS_5V,C558417
D2,SOD323,1,1N5819WS,C191023
D3,SOT23-3,1,SM712,C293966
D4,0805,1,yellow,C2296
D5,0805,1,green,C2297
D6,0805,1,red,C84256
J1,usb-MicroXNJ,1,USB-Micro,C404969
J2,SAMTEC_TSM-108-01-T-SH-A-P-TR_hole1.5mm,1,TSM-108-01-T-SH-A-P-TR,
J3,con-WR-PHD-61031021821,1,Raspberry-Pi_2x5-Pin_Header,C261072
J4,PinHeader_2x03_P2.54mm_Vertical_SMD,1,Conn_02x03_Odd_Even,C192301
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle,C2765186
"Q1, Q2, Q3",SOT-23,3,"BSS84AK,215",C127273
Q4,SOT-23,1,Q_NMOS_GSD, C8545
"R1, R3",0603,2,560R,C23204
"R10, R11, R12, R9",0603,4,1k,C21190
"R13, R20, R26, R4",0603,4,20k,C4184
"R14, R15",0402,2,5.1k,C25905
"R16, R19, R25, R27, R6, R7, R8",0603,7,10k,C25804
"R17, R18",0603,2,10M,C7250
"R2, R21, R28, R29",0603,4,4.7k,C23162
R22,0603,1,10k, C25804
"R23, R24",0603,2,75R,C4275
R5,0603,1,220R,C22962
"TP1, TP10, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",testpoint_no_border,14,TestPoint,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A02-GQFN24R,C969151
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393DR2G,C7955
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN,C8963
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,CD4023BM/TR,C910853
