Designator,Mid X,Mid Y,Rotation,Layer
C1,8.55,47.48,180.0,bottom
C10,26.33,31.1,270.0,bottom
C11,28.53,38.03,180.0,bottom
C12,28.689999,33.86,0.0,bottom
C15,36.18,31.51,0.0,bottom
C16,36.180001,29.96,0.0,bottom
C2,14.86,31.43,180.0,bottom
C3,15.2,33.83,90.0,bottom
C4,11.53,33.07,90.0,bottom
C5,13.25,33.83,90.0,bottom
C6,18.01,32.63,180.0,bottom
C7,35.03,39.58,180.0,bottom
C8,5.52,52.06,90.0,bottom
C9,20.9,45.43,90.0,bottom
D1,4.32,48.213499,0.0,bottom
D2,9.9,33.79,270.0,bottom
D3,37.44,35.69,0.0,bottom
D4,13.44,36.44,180.0,bottom
D5,24.61,35.282499,90.0,bottom
D6,22.45,35.284998,90.0,bottom
J1,4.13385,30.861,0.0,bottom
J2,46.863,37.211,90.0,bottom
J3,13.462,52.5018,270.0,bottom
J4,14.9,43.58,270.0,bottom
J5,6.209,41.021,90.0,bottom
Q1,32.94,35.0775,90.0,bottom
Q2,18.06,28.5,270.0,bottom
Q3,23.66,30.762499,180.0,bottom
Q4,19.8,35.29,270.0,bottom
R1,37.86,38.01,0.0,bottom
R10,32.53,41.05,180.0,bottom
R11,32.55,44.12,180.0,bottom
R12,36.18,33.09,0.0,bottom
R13,25.71,28.32,0.0,bottom
R14,3.71,50.26,180.0,bottom
R15,4.29,51.69,90.0,bottom
R16,29.74,36.12,180.0,bottom
R17,21.0,30.99,90.0,bottom
R18,18.01,31.16,180.0,bottom
R19,35.42,27.71,90.0,bottom
R2,14.87,27.02,180.0,bottom
R20,37.67,28.45,0.0,bottom
R21,30.88,38.77,270.0,bottom
R22,16.62,36.82,0.0,bottom
R23,26.31,36.1,90.0,bottom
R24,20.73,37.95,180.0,bottom
R25,33.28,46.34,270.0,bottom
R26,14.88,29.97,0.0,bottom
R27,14.88,28.49,180.0,bottom
R28,21.26,27.5,180.0,bottom
R29,32.59,38.83,90.0,bottom
R3,34.83,38.02,180.0,bottom
R4,25.71,26.86,180.0,bottom
R5,38.06,39.580002,0.0,bottom
R6,21.16,39.42,180.0,bottom
R7,21.17,41.05,180.0,bottom
R8,30.81,46.53,90.0,bottom
R9,32.55,42.52,180.0,bottom
TP1,17.46,41.61,90.0,top
TP10,42.96,35.955716,0.0,top
TP11,42.96,38.494287,0.0,top
TP12,42.96,41.032858,0.0,top
TP13,42.96,43.571429,0.0,top
TP14,42.96,46.11,0.0,top
TP2,17.46,45.53,90.0,top
TP3,12.38,45.53,90.0,top
TP4,12.38,41.61,90.0,top
TP5,14.92,45.53,90.0,top
TP6,14.92,41.61,90.0,top
TP7,42.96,28.34,0.0,top
TP8,42.96,30.878574,0.0,top
TP9,42.96,33.417145,0.0,top
U1,10.7125,28.889999,0.0,bottom
U2,30.91,30.41,270.0,bottom
U5,36.8,44.05,180.0,bottom
U6,26.36,43.43,90.0,bottom
